Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Reward,Volume
1,9,1,0,0,-1.053943201287576,100
2,8,1,0,0,-1.048751362857588,133
3,6,2,1,1,-0.9984078362148036,210
4,4,2,1,10,no trade ,0
5,4,1,0,0,-0.972604399217763,200
6,2,1,0,0,no trade ,0
7,2,1,1,0,-0.9691431735977709,200
8,0,1,0,0,-0.977796237647751,57
9,0,0,1,0,no trade ,0
10,0,1,1,0,no trade ,0
0,10,0,0,0,-0.9293390789678625,400
1,6,1,0,0,-0.9362615302078466,100
2,5,0,0,0,-0.9518370454978107,100
3,4,1,0,0,no trade ,0
4,4,0,0,0,-0.9449145942578266,100
5,3,0,0,0,no trade ,0
6,3,1,0,0,-0.9154941764878943,110
7,1,1,0,0,no trade ,0
8,1,1,1,0,-0.892996209957946,100
9,0,1,0,0,-0.9258778533478704,90
10,0,1,0,0,no trade ,0
0,10,1,0,0,-0.9310696917778586,200
1,8,0,0,0,-0.9310696917778586,300
2,5,1,0,0,-0.880881920287974,100
3,4,1,0,0,-0.8999186611979302,100
4,3,1,0,0,no trade ,0
5,3,1,0,0,-0.9154941764878943,100
6,2,0,0,0,-0.9414533686378346,200
7,0,1,0,0,no trade ,0
8,0,1,0,0,no trade ,0
9,0,1,0,0,no trade ,0
10,0,1,1,0,no trade ,0
0,10,0,0,0,-0.9535676583078069,217
1,7,0,0,0,-0.9570288839277988,304
2,4,0,0,0,-0.963951335167783,479
3,0,0,0,0,no trade ,0
4,0,1,0,0,no trade ,0
5,0,1,0,0,no trade ,0
6,0,1,0,0,no trade ,0
7,0,1,0,0,no trade ,0
8,0,1,0,0,no trade ,0
9,0,1,0,0,no trade ,0
10,0,0,0,0,no trade ,0
0,10,2,0,1,-0.9663496455127096,136
1,8,1,0,0,-0.9891060003458413,10
2,8,1,0,0,no trade ,0
3,8,1,0,0,-0.9752723499913539,99
4,7,1,0,0,-1.0029396507003285,15
5,7,1,0,0,-1.0081272695832613,100
6,6,1,0,0,-1.0375237765865468,100
7,5,1,0,0,no trade ,0
8,5,1,0,0,-1.0029396507003285,27
9,5,1,0,0,-1.016773301054816,100
10,4,1,1,0,-0.9599342901608162,413
0,10,0,0,0,-1.0235839269659037,100
1,9,0,0,0,no trade ,0
2,9,0,0,0,-1.0547064112317588,100
3,8,0,0,0,-1.0460612767134658,100
4,7,0,0,0,-1.0391451690988311,2
5,6,0,0,0,-1.0477903036171243,204
6,4,1,0,0,-1.0132097655439518,2
7,4,1,0,0,-1.008022684832976,214
8,2,1,0,0,-1.0322290614841967,30
9,2,0,0,0,-1.016667819351269,105
10,1,1,0,0,-0.9664741683380593,143
0,10,0,1,0,-1.01200404455929,1
1,9,0,2,0,-1.0033618238542577,58
2,9,1,2,0,-0.9705213851751345,30
3,9,1,1,0,-0.986077382444193,4
4,9,1,1,0,-1.01200404455929,218
5,6,0,1,0,-1.0586720363664648,100
6,5,1,0,0,-1.0604004805074712,200
7,3,1,0,0,-1.037930706674387,100
8,2,1,0,0,-0.9912627148672124,10
9,2,1,0,0,-1.0241031535463352,100
10,1,1,0,0,-0.9861638046512432,179
0,10,1,1,0,-0.9774351617391606,18
1,9,0,1,0,-0.9653360527521151,200
2,7,0,1,0,-0.9584222761880893,1
3,7,1,1,0,-0.9929911590082188,205
4,5,1,0,0,-0.9981764914312382,118
5,4,1,0,0,-1.0327453742513675,5
6,4,1,0,0,-1.0586720363664648,200
7,2,1,1,0,-1.037930706674387,110
8,1,0,2,0,-1.044844483238413,143
9,0,0,2,0,no trade ,0
10,0,1,1,0,no trade ,0
0,10,0,1,0,-1.1885019347705914,200
1,8,0,0,0,-1.1885019347705914,100
2,7,0,0,0,-1.1885019347705914,68
3,6,1,0,0,-1.1885019347705914,200
4,4,2,2,1,-1.127003869541183,112
5,3,2,2,1,no trade ,0
6,3,1,1,0,-1.1470425649530127,4
7,3,1,1,0,-1.164317302377004,200
8,1,1,1,0,no trade ,0
9,1,0,0,0,-1.1885019347705914,12
10,1,1,2,0,-1.1677722498618022,104
0,10,0,1,0,-1.1581611061690862,100
1,9,1,2,0,-1.1357060809935486,110
2,7,0,1,0,-1.140888009880211,85
3,7,0,1,0,-1.1650703446846364,100
4,6,0,2,0,-1.1581611061690862,100
5,5,1,1,0,-1.1598884157979739,116
6,3,0,1,0,-1.1996165372623868,100
7,2,0,1,0,no trade ,0
8,2,1,1,0,-1.177161512086849,9
9,2,1,0,0,-1.1788888217157365,206
10,0,1,0,0,-1.203071156520162,74
0,10,1,3,2,-1.1650703446846364,500
1,5,1,0,0,-1.1788888217157365,10
2,4,0,1,0,-1.1840707506023993,100
3,3,1,2,0,-1.1305241521068858,11
4,3,2,2,1,-1.108932781745792,22
5,3,1,2,0,-1.1201602943335607,38
6,3,1,2,0,no trade ,0
7,3,1,1,0,-1.0907960306424729,12
8,3,1,1,0,-1.1201602943335607,111
9,1,1,2,0,-1.097705269158023,11
10,1,0,1,0,-1.1033708447407742,185
0,10,1,2,0,-1.12091745971433,100
1,9,1,2,0,-1.1416432062729926,11
2,8,0,1,0,-1.1727318261109863,100
3,7,1,2,0,-1.1589146617385446,100
4,6,1,1,0,-1.1399160607264374,125
5,5,1,1,0,no trade ,0
6,5,1,2,0,-1.1001917131556678,14
7,5,1,2,0,-1.0742845299573394,11
8,5,1,1,0,-1.0760116755038946,15
9,5,0,2,0,-1.0483773467590114,192
10,3,1,2,0,-1.0002072574655867,332
0,10,1,1,0,-0.9854301432803337,100
1,9,1,1,0,-1.0009759299403214,2
2,8,0,1,0,-1.0251582647447468,100
3,7,0,1,0,-1.0268855743736345,100
4,6,0,1,0,no trade ,0
5,6,0,1,0,-1.0527952188069472,44
6,6,1,1,0,-1.0545225284358348,5
7,6,0,2,0,-1.0994325787869104,100
8,5,1,1,0,no trade ,0
9,5,1,1,0,-1.101159888415798,12
10,5,0,1,0,-1.0994843980757771,537
0,10,0,0,0,-1.1168021282292682,205
1,7,1,2,0,-1.1444414693764737,400
2,3,1,0,0,-1.1807181046321809,7
3,3,1,0,0,no trade ,0
4,3,1,1,0,-1.161716057593477,111
5,2,1,0,0,-1.130621798802871,9
6,2,1,0,0,-1.120257045872669,238
7,0,1,2,0,-1.1375316340896724,30
8,0,0,0,0,no trade ,0
9,0,1,0,0,no trade ,0
10,0,0,0,0,no trade ,0
0,10,2,0,1,-1.1144083532693652,21
1,9,1,1,0,-1.1218876039624484,103
2,8,1,1,0,no trade ,0
3,8,1,1,0,-1.1287968424779984,10
4,8,1,0,0,-1.1737068928290741,387
5,4,0,0,0,-1.2237988720668125,100
6,3,2,1,1,-1.1654158066104139,124
7,2,1,0,0,-1.1685249639424113,103
8,1,1,1,0,-1.1685249639424113,40
9,1,1,1,0,-1.170252273571299,112
10,0,0,1,0,no trade ,0
0,10,1,0,0,-1.1625898286346048,5
1,9,1,0,0,no trade ,0
2,9,0,1,0,-1.1453150912106136,73
3,9,0,1,0,-1.1470425649530127,100
4,8,1,0,0,-1.166044776119403,51
5,7,1,1,0,-1.1694997236042013,100
6,6,2,0,1,-1.1352957435046986,247
7,4,2,2,1,-1.1359867330016584,10
8,4,0,2,0,-1.1677722498618022,100
9,3,1,0,0,-1.2092316196793809,100
10,2,0,0,0,-1.2155887230514095,214
0,10,1,2,0,-1.2316887783305692,20
1,9,0,1,0,-1.2282338308457712,100
2,8,1,0,0,-1.21095909342178,100
3,7,1,1,0,-1.226506357103372,111
4,6,1,2,0,-1.212686567164179,11
5,6,1,1,0,-1.2437810945273633,16
6,6,1,1,0,-1.2230514096185738,50
7,5,1,4,2,-1.1811428966279713,346
8,2,0,3,0,-1.2023217247097846,100
9,1,1,1,0,-1.1608623548922055,5
10,1,1,1,0,-1.1441058595909341,141
0,10,1,2,0,-1.1608623548922055,100
1,9,1,1,0,-1.1729546710889995,100
2,8,1,2,0,-1.1608623548922055,10
3,7,1,1,0,-1.183319513543394,105
4,6,0,1,0,-1.2161415146489774,100
5,5,0,1,0,-1.2368711995577666,100
6,4,0,1,0,-1.2541459369817578,100
7,3,1,2,0,-1.2351437258153675,26
8,3,1,1,0,-1.2282338308457712,4
9,3,1,1,0,no trade ,0
10,3,0,2,0,-1.2000069098949695,355
0,10,1,1,0,-1.22996130458817,109
1,8,1,0,0,-1.240326147042565,104
2,7,1,2,0,-1.2420536207849642,220
3,5,1,1,0,-1.2593283582089552,200
4,3,1,0,0,-1.2973327805417358,13
5,3,0,0,0,-1.331882255389718,100
6,2,0,0,0,-1.3526119402985073,100
7,1,0,1,0,-1.359521835268104,100
8,0,0,1,0,-1.3854339414040906,54
9,0,1,1,0,no trade ,0
10,0,1,1,0,no trade ,0
0,10,1,1,0,-1.3799892916976115,140
1,8,0,1,0,-1.3920793105234979,11
2,8,1,1,0,-1.4110779115356051,11
3,8,1,1,0,-1.4007150382562739,11
4,8,0,1,0,-1.4231679303614915,111
5,7,1,1,0,-1.4300765125477124,221
6,4,1,0,0,-1.4749822967581478,26
7,4,1,0,0,no trade ,0
8,4,1,0,0,-1.4715280056650375,105
9,3,0,0,0,-1.4887994611305895,100
10,2,0,0,0,-1.4782811447520683,264
0,10,1,0,0,-1.498441103059929,322
1,6,1,2,0,-1.5122595800910292,24
2,6,1,1,0,-1.513986889719917,27
3,6,1,1,0,-1.5416238437821173,14
4,6,1,1,0,-1.5502603919265547,226
5,3,0,2,0,-1.56062424969988,200
6,1,0,1,0,no trade ,0
7,1,1,0,0,-1.5433511534110047,15
8,1,1,1,0,-1.5416238437821173,68
9,1,1,1,0,-1.5191688186065793,4
10,1,1,0,0,-1.5226234378643544,100
0,10,1,0,0,-1.5325637417004119,100
1,9,1,0,0,-1.5308369093153973,113
2,7,1,0,0,-1.5601930598606446,101
3,6,0,0,0,-1.5688272217857173,1
4,6,1,0,0,-1.5688272217857173,199
5,4,1,0,0,no trade ,0
6,4,0,0,0,-1.5791882160958046,200
7,2,0,1,0,-1.5981833723309646,200
8,0,0,1,0,-1.6482615114963868,86
9,0,0,1,0,no trade ,0
10,0,0,1,0,no trade ,0
0,10,1,1,0,-1.6999490619631001,200
1,8,1,1,0,-1.6999490619631001,100
2,7,1,0,0,-1.6740483652343583,100
3,6,1,0,0,-1.6550545209666139,200
4,4,1,0,0,no trade ,0
5,4,1,0,0,-1.6343339635836205,9
6,3,0,2,0,-1.615340119315876,100
7,2,0,1,0,-1.6015264143938808,100
8,1,0,2,0,-1.6481476685056162,191
9,0,0,4,0,no trade ,0
10,0,1,2,0,no trade ,0
0,10,0,2,0,-1.639627349571314,100
1,9,1,0,0,-1.6534420086514303,100
2,8,2,1,1,-1.6236541500099293,16
3,7,2,1,1,-1.6240858581061828,6
4,7,1,2,0,-1.611998031411081,129
5,6,1,2,0,-1.6275395228762122,109
6,5,0,0,0,-1.6499883438814014,100
7,4,1,0,0,-1.6638030029615176,100
8,3,0,0,0,-1.6862518239667068,200
9,1,1,0,0,-1.6914323211217503,140
10,0,1,0,0,no trade ,0
0,10,0,0,0,-1.710309340654597,100
1,9,1,0,0,-1.6809552176953562,100
2,8,1,0,0,no trade ,0
3,8,2,1,1,-1.606810156526544,34
4,7,1,2,0,-1.6084332668548786,100
5,6,1,1,0,-1.6205202586616247,118
6,5,1,0,0,-1.6585079471971127,100
7,4,1,1,0,-1.6533278078513645,9
8,4,1,1,0,-1.6999490619631001,100
9,3,1,1,0,-1.706855914424098,109
10,2,2,1,0,-1.676983777530282,230
0,10,0,1,0,-1.7484177898272304,100
1,9,0,1,0,no trade ,0
2,9,1,1,0,-1.6845249915816922,26
3,8,0,2,0,-1.7017933154318376,100
4,7,1,1,0,-1.7173348068969685,200
5,5,0,2,0,-1.7207884716669977,13
6,5,1,1,0,-1.6793444944266485,22
7,5,1,1,0,-1.662076170576503,9
8,5,1,2,0,-1.6240858581061828,112
9,4,1,2,0,-1.6068175342560373,17
10,4,1,2,0,-1.5625588202281147,401
0,10,1,1,0,-1.57044557831939,7
1,9,1,1,0,-1.5652654389736418,12
2,9,0,0,0,-1.584259283241386,13
3,9,0,2,0,-1.5825325701261364,100
4,8,1,2,0,-1.5462715947058976,122
5,7,1,1,0,-1.5669921520888912,113
6,6,0,1,0,-1.596346275048132,100
7,5,0,1,0,-1.5687188652041408,212
8,3,1,1,0,-1.5566318733973943,16
9,3,1,1,0,-1.5756257176651385,125
10,1,1,1,0,-1.5706009824997627,180
0,10,0,1,0,-1.570554054170732,100
1,9,0,2,0,-1.5619198922456592,100
2,8,1,1,0,-1.5256564121603537,69
3,7,1,1,0,-1.551558897935572,8
4,7,1,2,0,-1.570554054170732,4
5,7,1,1,0,-1.5411979036254846,8
6,7,1,2,0,-1.5256564121603537,73
7,6,1,2,0,-1.5256564121603537,112
8,5,0,1,0,-1.5601930598606446,212
9,3,0,1,0,no trade ,0
10,3,1,1,0,-1.5582762759132784,314
0,10,1,1,0,-1.6049798406243796,200
1,8,1,1,0,-1.6136134062006269,221
2,5,1,0,0,-1.6619613734276117,200
3,3,1,2,0,-1.63606067669887,10
4,3,0,1,0,-1.6464209553903666,200
5,1,1,1,0,-1.6291538242378718,100
6,0,0,1,0,-1.63606067669887,69
7,0,1,1,0,no trade ,0
8,0,1,1,0,no trade ,0
9,0,1,1,0,no trade ,0
10,0,1,1,0,no trade ,0
0,10,0,1,0,-1.7043982800600943,100
1,9,1,2,0,-1.6819492652264763,25
2,8,1,2,0,-1.6439586247388145,103
3,7,1,1,0,-1.638778082854133,200
4,5,1,2,0,-1.652592861213283,100
5,4,1,2,0,-1.6664076395724325,311
6,1,1,1,0,-1.6491391666234954,100
7,0,1,1,0,no trade ,0
8,0,1,2,0,no trade ,0
9,0,0,1,0,-1.650866013918389,61
10,0,1,1,0,no trade ,0
0,10,1,1,0,-1.6025142896613653,8
1,9,0,1,0,-1.6146022207256212,219
2,7,0,1,0,-1.6301438463796645,100
3,6,1,2,0,-1.6094216788409401,109
4,5,1,1,0,-1.5766115802379594,116
5,4,1,1,0,-1.5904263585971092,25
6,4,1,1,0,no trade ,0
7,4,0,2,0,-1.638778082854133,100
8,3,0,2,0,-1.6318706936745582,1
9,3,0,1,0,-1.6474123193286019,10
10,3,1,1,0,-1.6697231863786286,312
0,10,0,2,0,-1.7094902610857852,416
1,5,1,1,0,-1.7198508081226689,216
2,3,0,2,0,-1.699129714048902,10
3,3,1,1,0,-1.7181240502831885,116
4,2,1,1,0,-1.7267578394805911,227
5,0,1,1,0,no trade ,0
6,0,0,2,0,-1.7112170189252658,15
7,0,0,1,0,no trade ,0
8,0,0,2,0,no trade ,0
9,0,0,1,0,no trade ,0
10,0,1,2,0,no trade ,0
0,10,1,1,0,-1.6599875630484349,5
1,9,1,2,0,-1.6824431700407656,115
2,8,0,2,0,-1.6824431700407656,185
3,6,1,2,0,-1.687625233192842,10
4,6,1,2,0,-1.687625233192842,5
5,6,0,1,0,-1.7169902577212741,99
6,5,1,1,0,-1.7221723208733504,100
7,4,1,0,0,-1.711808194569198,100
8,3,1,1,0,-1.7135355489532231,126
9,2,1,0,0,-1.7342638015615284,6
10,2,1,1,0,-1.7208940786291715,249
0,10,1,1,0,-1.7608705039077681,17
1,9,0,1,0,-1.8057774515307223,301
2,6,0,1,0,-1.8057774515307223,100
3,5,0,1,0,no trade ,0
4,5,0,1,0,-1.8178677835830561,100
5,4,1,2,0,-1.79886869035796,16
6,4,1,0,0,-1.785051168012436,100
7,3,1,0,0,-1.7435986009758624,109
8,2,0,2,0,-1.717690746578004,100
9,1,1,2,0,-1.6986916533529084,111
