Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
8,2.484984984984985,0,5,0,4,5,no trade ,0
9,2.484984984984985,0,4,0,5,5,no trade ,0
10,2.484984984984985,5,4,0,3,0,0.010434419672359222,760
11,1.3438438438438438,5,1,0,4,0,0.0034781398907864076,300
12,0.8933933933933934,0,2,0,3,5,no trade ,0
13,0.8933933933933934,0,3,0,4,5,no trade ,0
14,0.8933933933933934,0,1,0,5,5,no trade ,0
15,0.8933933933933934,0,0,0,4,5,0.013286494382804076,595
0,0.0,0,1,0,6,5,no trade ,0
1,15.015015015015015,5,0,0,4,5,no trade ,0
2,15.015015015015015,0,6,0,4,0,-0.02086666202963066,750
3,13.88888888888889,5,3,0,5,5,no trade ,0
4,13.88888888888889,5,2,0,5,5,no trade ,0
5,13.88888888888889,5,0,0,6,3,-0.025179105515754332,2776
6,9.72072072072072,0,0,0,5,5,no trade ,0
7,9.72072072072072,0,0,0,5,3,-0.07094665090074424,3150
8,4.990990990990991,0,0,0,4,0,-0.09042220212839953,2180
9,1.7177177177177176,0,2,0,4,0,-0.07651109410864575,201
10,1.4159159159159158,5,3,0,4,0,-0.06259998608889199,450
11,0.7402402402402403,0,3,0,4,5,no trade ,0
12,0.7402402402402403,5,2,0,5,5,no trade ,0
13,0.7402402402402403,0,1,0,5,5,no trade ,0
14,0.7402402402402403,0,1,0,3,5,no trade ,0
15,0.7402402402402403,0,2,0,5,0,0.0012519997217778395,493
0,0.0,0,0,0,5,5,no trade ,0
1,15.015015015015015,0,0,0,4,3,-0.05104666527574936,3426
2,9.87087087087087,0,0,0,4,2,-0.05946171500104319,1201
3,8.067567567567568,0,2,0,4,5,no trade ,0
4,8.067567567567568,5,3,0,5,0,-0.041727519298977674,501
5,7.315315315315315,0,6,0,5,5,no trade ,0
6,7.315315315315315,0,3,0,3,5,no trade ,0
7,7.315315315315315,5,2,0,6,5,no trade ,0
8,7.315315315315315,5,5,0,6,5,no trade ,0
9,7.315315315315315,0,2,0,3,5,no trade ,0
10,7.315315315315315,0,5,0,5,5,no trade ,0
11,7.315315315315315,0,2,0,6,0,-0.048682105848807285,601
12,6.412912912912913,0,0,0,4,3,-0.04256206968495723,2685
13,2.3813813813813813,0,4,0,4,5,no trade ,0
14,2.3813813813813813,0,4,0,5,5,no trade ,0
15,2.3813813813813813,0,1,0,4,5,0.0005563669239863691,1586
0,0.0,5,3,7,4,0,-0.024318221295813795,400
1,14.414414414414415,5,4,5,4,5,no trade ,0
2,14.414414414414415,0,4,5,5,5,no trade ,0
3,14.414414414414415,0,3,5,5,5,no trade ,0
4,14.414414414414415,0,8,6,5,5,no trade ,0
5,14.414414414414415,0,3,5,4,5,no trade ,0
6,14.414414414414415,0,5,5,5,5,no trade ,0
7,14.414414414414415,0,6,5,5,5,no trade ,0
8,14.414414414414415,5,3,3,5,5,no trade ,0
9,14.414414414414415,0,3,3,4,5,no trade ,0
10,14.414414414414415,0,3,6,5,5,no trade ,0
11,14.414414414414415,0,1,8,4,0,-0.0034740316136876847,100
12,14.264264264264265,0,2,8,5,5,no trade ,0
13,14.264264264264265,0,3,8,5,5,no trade ,0
14,14.264264264264265,0,3,9,5,5,no trade ,0
15,14.264264264264265,0,5,9,3,0,0.036685773840541946,9500
0,0.0,5,5,9,4,0,-0.05207067726594231,720
1,13.933933933933934,0,9,9,6,0,-0.024299649390773077,5941
2,5.013513513513513,0,4,9,5,5,no trade ,0
3,5.013513513513513,0,2,9,4,5,no trade ,0
4,5.013513513513513,0,2,9,4,5,no trade ,0
5,5.013513513513513,0,3,9,4,5,no trade ,0
6,5.013513513513513,0,2,9,6,0,0.01735689242198077,600
7,4.112612612612613,5,2,9,5,5,no trade ,0
8,4.112612612612613,0,3,9,5,0,-0.01735689242198077,200
9,3.8123123123123124,0,2,9,4,5,no trade ,0
10,3.8123123123123124,5,3,9,4,5,no trade ,0
11,3.8123123123123124,0,5,9,4,5,no trade ,0
12,3.8123123123123124,0,3,9,5,5,no trade ,0
13,3.8123123123123124,5,3,9,4,5,no trade ,0
14,3.8123123123123124,5,3,9,4,5,no trade ,0
15,3.8123123123123124,5,2,9,5,5,0.005345922865970077,2539
0,0.0,0,4,9,4,5,no trade ,0
1,15.015015015015015,0,4,9,5,5,no trade ,0
2,15.015015015015015,5,2,9,5,0,-0.0034728251432540372,500
3,14.264264264264265,0,2,9,4,5,no trade ,0
4,14.264264264264265,0,2,9,5,5,no trade ,0
5,14.264264264264265,5,0,8,4,3,-0.03368640388956416,3056
6,9.675675675675675,0,3,8,6,5,no trade ,0
7,9.675675675675675,5,3,9,4,5,no trade ,0
8,9.675675675675675,0,3,9,4,5,no trade ,0
9,9.675675675675675,0,5,9,5,5,no trade ,0
10,9.675675675675675,0,4,9,5,5,no trade ,0
11,9.675675675675675,0,5,9,4,5,no trade ,0
12,9.675675675675675,0,3,9,3,5,no trade ,0
13,9.675675675675675,0,1,8,3,5,no trade ,0
14,9.675675675675675,0,1,9,3,0,-0.017364125716270183,200
15,9.375375375375375,0,4,9,5,5,0.018267060253516234,6244
0,0.0,0,3,8,5,5,no trade ,0
1,15.015015015015015,0,2,6,4,5,no trade ,0
2,15.015015015015015,5,2,6,6,5,no trade ,0
3,15.015015015015015,0,2,5,5,0,0.0069516857838025714,200
4,14.714714714714715,0,1,4,5,0,0.0,350
5,14.18918918918919,5,2,6,4,0,0.020855057351407715,550
6,13.363363363363364,5,3,7,3,0,0.03475842891901286,320
7,12.882882882882884,0,2,4,5,5,no trade ,0
8,12.882882882882884,0,0,0,4,3,-0.0364963503649635,2875
9,8.566066066066066,0,6,3,4,5,no trade ,0
10,8.566066066066066,0,4,5,4,5,no trade ,0
11,8.566066066066066,0,4,5,5,5,no trade ,0
12,8.566066066066066,0,2,3,3,5,no trade ,0
13,8.566066066066066,5,3,3,4,5,no trade ,0
14,8.566066066066066,5,1,5,3,5,no trade ,0
15,8.566066066066066,0,4,6,4,5,0.03816475495307612,5705
0,0.0,0,3,5,5,5,no trade ,0
1,15.015015015015015,0,1,3,6,0,0.01738586181717028,100
2,14.864864864864865,5,4,0,5,0,-0.0034771723634340556,1200
3,13.063063063063064,0,2,0,4,5,no trade ,0
4,13.063063063063064,0,1,1,5,3,0.016273166660871377,2810
5,8.843843843843844,5,3,3,6,0,0.0312945512709065,1000
6,7.342342342342342,5,3,4,4,5,no trade ,0
7,7.342342342342342,0,1,4,5,0,0.03824889599777461,200
8,7.042042042042042,0,3,5,5,5,no trade ,0
9,7.042042042042042,0,3,4,5,5,no trade ,0
10,7.042042042042042,5,0,5,4,3,0.05751243089119928,2724
11,2.951951951951952,0,0,4,5,0,0.04520324072464272,900
12,1.6006006006006006,0,2,4,4,0,0.04520324072464272,580
13,0.7297297297297297,0,1,3,5,0,0.04520324072464272,486
14,0.0,0,3,0,6,0,no trade ,0
15,0.0,5,0,0,6,3,no trade ,0
0,0.0,0,3,0,5,5,no trade ,0
1,15.015015015015015,5,0,0,5,3,-0.005912837814336893,2498
2,11.264264264264265,0,3,2,4,5,no trade ,0
3,11.264264264264265,0,1,0,4,3,0.0303989426454732,2305
